bn:00014445n	[wn2020:02964806n, wn:02933112n]	cabinet	[A piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display]
bn:00014603n	[wn:07726230n, wn2020:07819691n]	dahl	[Small highly nutritious seed of the tropical pigeon-pea plant]
bn:00014603n	[wn:07726230n, wn2020:07819691n]	cajan_pea	[]
bn:00014599n	[wn:02937093n, wn2020:02968805n]	pneumatic_caisson	[]
bn:00014599n	[wn:02937093n, wn2020:02968805n]	cofferdam	[Large watertight chamber used for construction under water]
bn:00014599n	[wn:02937093n, wn2020:02968805n]	caisson	[]
bn:00014610n	[wn:07594066n, wn2020:07686848n]	cake_mix	[A commercial mix for making a cake]
bn:00014608n	[wn2020:07756931n, wn:07663899n]	patty	[]
bn:00014608n	[wn2020:07756931n, wn:07663899n]	cake	[Small flat mass of chopped food]
bn:00014612n	[wn:00530874n, wn2020:00533119n]	cakewalk	[A strutting dance based on a march; was performed in minstrel shows; originated as a competition among Black dancers to win a cake]
bn:00014602n	[wn2020:12637832n, wn:12510774n]	cajan_pea	[]
bn:00014602n	[wn2020:12637832n, wn:12510774n]	catjang_pea	[]
bn:00014602n	[wn2020:12637832n, wn:12510774n]	pigeon_pea	[]
bn:00014602n	[wn2020:12637832n, wn:12510774n]	pigeon-pea_plant	[]
bn:00014602n	[wn2020:12637832n, wn:12510774n]	dahl	[]
bn:00014602n	[wn2020:12637832n, wn:12510774n]	cajanus_cajan	[Tropical woody herb with showy yellow flowers and flat pods; much cultivated in the tropics]
bn:00014602n	[wn2020:12637832n, wn:12510774n]	red_gram	[]
bn:00014602n	[wn2020:12637832n, wn:12510774n]	dhal	[]
bn:00014620n	[wn2020:12944441n, wn:12815668n]	calabash_tree	[]
bn:00014620n	[wn2020:12944441n, wn:12815668n]	crescentia_cujete	[Tropical American evergreen that produces large round gourds]
bn:00014620n	[wn2020:12944441n, wn:12815668n]	calabash	[]
bn:00014621n	[wn2020:03485877n, wn:03449451n]	gourd	[]
bn:00014621n	[wn2020:03485877n, wn:03449451n]	calabash	[Bottle made from the dried shell of a bottle gourd]
bn:00014622n	[wn:02937614n, wn2020:02969326n]	calabash_pipe	[A pipe for smoking; has a curved stem and a large bowl made from a calabash gourd]
bn:00014622n	[wn:02937614n, wn2020:02969326n]	calabash	[]
bn:00014631n	[wn2020:12239316n, wn:12113195n]	feather_reed_grass	[]
bn:00014631n	[wn2020:12239316n, wn:12113195n]	feathertop	[]
bn:00014631n	[wn2020:12239316n, wn:12113195n]	calamagrostis_acutiflora	[A variety of reed grass]
bn:00014635n	[wn:12842887n, wn2020:12971826n]	calamint	[Perennial aromatic herbs growing in hedgerows or scrub or open woodlands from western Europe to central Asia and in North America]
bn:00014634n	[wn2020:02969478n, wn:02937766n]	calamine_lotion	[A lotion consisting of a liquid preparation containing calamine; used to treat itching or mild skin irritations]
bn:00014633n	[wn:14678406n, wn2020:14820114n]	hemimorphite	[]
bn:00014633n	[wn:14678406n, wn2020:14820114n]	calamine	[A white mineral; a common ore of zinc]
bn:00014632n	[wn:07781801n, wn2020:07875371n]	squid	[]
bn:00014632n	[wn:07781801n, wn2020:07875371n]	calamari	[]
bn:00014632n	[wn:07781801n, wn2020:07875371n]	calamary	[(Italian cuisine) squid prepared as food]
bn:00014642n	[wn2020:11904946n, wn:11781176n]	calamus	[The aromatic root of the sweet flag used medicinally]
bn:00014643n	[wn:02592607n, wn2020:02620182n]	calamus	[]
bn:00014643n	[wn:02592607n, wn2020:02620182n]	genus_calamus	[A genus of Sparidae]
bn:00014641n	[wn2020:12713641n, wn:12586298n]	calamus	[Any tropical Asian palm of the genus Calamus; light tough stems are a source of rattan canes]
bn:00014609n	[wn:07628870n, wn2020:07721726n]	cake	[Baked goods made from or based on a mixture of flour, sugar, eggs, and fat]
bn:00014651n	[wn:11858814n, wn2020:11982769n]	redmaids	[]
bn:00014651n	[wn:11858814n, wn2020:11982769n]	calandrinia_ciliata	[Succulent carpet-forming plant having small brilliant reddish-pink flowers; southwestern United States]
bn:00014651n	[wn:11858814n, wn2020:11982769n]	red_maids	[]
bn:00014648n	[wn:12586499n, wn2020:12713842n]	rattan	[]
bn:00014648n	[wn:12586499n, wn2020:12713842n]	rattan_palm	[]
bn:00014648n	[wn:12586499n, wn2020:12713842n]	calamus_rotang	[Climbing palm of Sri Lanka and southern India remarkable for the great length of the stems which are used for malacca canes]
bn:00014640n	[wn:07314838n, wn2020:07406057n]	calamity	[]
bn:00014640n	[wn:07314838n, wn2020:07406057n]	tragedy	[]
bn:00014640n	[wn:07314838n, wn2020:07406057n]	cataclysm	[An event resulting in great loss and misfortune]
bn:00014640n	[wn:07314838n, wn2020:07406057n]	catastrophe	[]
bn:00014640n	[wn:07314838n, wn2020:07406057n]	disaster	[]
bn:00014655n	[wn:02937958n, wn2020:02969670n]	caleche	[]
bn:00014655n	[wn:02937958n, wn2020:02969670n]	calash_top	[The folding hood of a horse-drawn carriage]
bn:00014655n	[wn:02937958n, wn2020:02969670n]	calash	[]
bn:00014657n	[wn:14931323n, wn2020:15074794n]	calc-tufa	[A soft porous rock consisting of calcium carbonate deposited from springs rich in lime]
bn:00014657n	[wn:14931323n, wn2020:15074794n]	tufa	[]
bn:00014665n	[wn2020:14504979n, wn:14364980n]	calcification	[Tissue hardened by deposition of lime salts]
bn:00014667n	[wn:02938321n, wn2020:02970033n]	calcimine	[A water-base paint containing zinc oxide and glue and coloring; used as a wash for walls and ceilings]
bn:00014663n	[wn2020:15236976n, wn:15092227n]	calciferol	[]
bn:00014663n	[wn2020:15236976n, wn:15092227n]	viosterol	[]
bn:00014663n	[wn2020:15236976n, wn:15092227n]	vitamin_d	[]
bn:00014663n	[wn2020:15236976n, wn:15092227n]	d	[A fat-soluble vitamin that prevents rickets]
bn:00014663n	[wn2020:15236976n, wn:15092227n]	ergocalciferol	[]
bn:00014663n	[wn2020:15236976n, wn:15092227n]	cholecalciferol	[]
bn:00014682n	[wn2020:03707682n, wn:03669665n]	limelight	[]
bn:00014682n	[wn2020:03707682n, wn:03669665n]	calcium_light	[A lamp consisting of a flame directed at a cylinder of lime with a lens to concentrate the light; formerly used for stage lighting]
bn:00014677n	[wn:14936010n, wn2020:15079481n]	lime	[]
bn:00014677n	[wn:14936010n, wn2020:15079481n]	slaked_lime	[]
bn:00014677n	[wn:14936010n, wn2020:15079481n]	calcium_hydroxide	[]
bn:00014677n	[wn:14936010n, wn2020:15079481n]	caustic_lime	[]
bn:00014677n	[wn:14936010n, wn2020:15079481n]	lime_hydrate	[A caustic substance produced by heating limestone]
bn:00014677n	[wn:14936010n, wn2020:15079481n]	hydrated_lime	[]
bn:00014677n	[wn:14936010n, wn2020:15079481n]	calcium_hydrate	[]
bn:00014691n	[wn2020:09998174n, wn:09887034n]	estimator	[]
bn:00014691n	[wn2020:09998174n, wn:09887034n]	figurer	[]
bn:00014691n	[wn2020:09998174n, wn:09887034n]	reckoner	[]
bn:00014691n	[wn2020:09998174n, wn:09887034n]	calculator	[]
bn:00014691n	[wn2020:09998174n, wn:09887034n]	computer	[An expert at calculation (or at operating calculating machines)]
bn:00014692n	[wn2020:09341587n, wn:09230768n]	concretion	[A hard lump produced by the concretion of mineral salts; found in hollow organs or ducts of the body]
bn:00014692n	[wn2020:09341587n, wn:09230768n]	calculus	[]
bn:00014693n	[wn2020:09566865n, wn:09454925n]	calculus	[]
bn:00014693n	[wn2020:09566865n, wn:09454925n]	tartar	[]
bn:00014693n	[wn2020:09566865n, wn:09454925n]	tophus	[An incrustation that forms on the teeth and gums]
bn:00014688n	[wn2020:00872789n, wn:00868910n]	computing	[The procedure of calculating; determining something by mathematical or logical methods]
bn:00014688n	[wn2020:00872789n, wn:00868910n]	computation	[]
bn:00014688n	[wn2020:00872789n, wn:00868910n]	calculation	[]
bn:00014687n	[wn2020:02970562n, wn:02938886n]	calculating_machine	[A small machine that is used for mathematical calculations]
bn:00014687n	[wn2020:02970562n, wn:02938886n]	calculator	[]
bn:00014694n	[wn:06013741n, wn2020:06071278n]	infinitesimal_calculus	[The branch of mathematics that is concerned with limits and with the differentiation and integration of functions]
bn:00014694n	[wn:06013741n, wn2020:06071278n]	calculus	[]
bn:00014711n	[wn2020:15281863n, wn:15136147n]	calendar_week	[A period of seven consecutive days starting on Sunday]
bn:00014711n	[wn2020:15281863n, wn:15136147n]	week	[]
bn:00014713n	[wn:02939565n, wn2020:02971274n]	calender	[A machine that smooths or glazes paper or cloth by pressing it between plates or passing it through rollers]
bn:00014709n	[wn:00853145n, wn2020:00856939n]	rhythm_method	[]
bn:00014709n	[wn:00853145n, wn2020:00856939n]	rhythm_method_of_birth_control	[]
bn:00014709n	[wn:00853145n, wn2020:00856939n]	calendar_method	[Natural family planning in which ovulation is assumed to occur 14 days before the onset of a period (the fertile period would be assumed to extend from day 10 through day 18 of her cycle)]
bn:00014709n	[wn:00853145n, wn2020:00856939n]	calendar_method_of_birth_control	[]
bn:00014709n	[wn:00853145n, wn2020:00856939n]	rhythm	[]
bn:00014710n	[wn2020:15355608n, wn:15209413n]	month	[One of the twelve divisions of the calendar year]
bn:00014710n	[wn2020:15355608n, wn:15209413n]	calendar_month	[]
bn:00014701n	[wn:03533014n, wn2020:03570205n]	hookah	[]
bn:00014701n	[wn:03533014n, wn2020:03570205n]	shisha	[]
bn:00014701n	[wn:03533014n, wn2020:03570205n]	sheesha	[]
bn:00014701n	[wn:03533014n, wn2020:03570205n]	nargileh	[]
bn:00014701n	[wn:03533014n, wn2020:03570205n]	narghile	[]
bn:00014701n	[wn:03533014n, wn2020:03570205n]	water_pipe	[]
bn:00014701n	[wn:03533014n, wn2020:03570205n]	kalian	[]
bn:00014701n	[wn:03533014n, wn2020:03570205n]	calean	[]
bn:00014701n	[wn:03533014n, wn2020:03570205n]	chicha	[]
bn:00014701n	[wn:03533014n, wn2020:03570205n]	hubbly-bubbly	[An oriental tobacco pipe with a long flexible tube connected to a container where the smoke is cooled by passing through water]
bn:00014701n	[wn:03533014n, wn2020:03570205n]	hubble-bubble	[]
bn:00014717n	[wn:01887896n, wn2020:01905711n]	calf	[Young of domestic cattle]
bn:00014720n	[wn2020:01905860n, wn:01888045n]	calf	[Young of various large placental mammals e.g. whale or giraffe or elephant or buffalo]
bn:00014719n	[wn2020:14903404n, wn:14761334n]	calf	[]
bn:00014719n	[wn2020:14903404n, wn:14761334n]	calfskin	[Fine leather from the skin of a calf]
bn:00014726n	[wn2020:07636627n, wn:07544351n]	puppy_love	[]
bn:00014726n	[wn2020:07636627n, wn:07544351n]	infatuation	[Temporary love of an adolescent]
bn:00014726n	[wn2020:07636627n, wn:07544351n]	crush	[]
bn:00014726n	[wn2020:07636627n, wn:07544351n]	calf_love	[]
bn:00014756n	[wn:12935609n, wn2020:13064604n]	california_fern	[]
bn:00014756n	[wn:12935609n, wn2020:13064604n]	poison_parsley	[]
bn:00014756n	[wn:12935609n, wn2020:13064604n]	poison_hemlock	[]
bn:00014756n	[wn:12935609n, wn2020:13064604n]	hemlock	[]
bn:00014756n	[wn:12935609n, wn2020:13064604n]	conium_maculatum	[Large branching biennial herb native to Eurasia and Africa and adventive in North America having large fernlike leaves and white flowers; usually found in damp habitats; all parts extremely poisonous]
bn:00014756n	[wn:12935609n, wn2020:13064604n]	winter_fern	[]
bn:00014756n	[wn:12935609n, wn2020:13064604n]	nebraska_fern	[]
bn:00014780n	[wn2020:09852350n, wn:09741612n]	californian	[A native or resident of California]
bn:00014782n	[wn2020:02971575n, wn:02939866n]	calliper	[An instrument for measuring the distance between two points (often used in the plural)]
bn:00014782n	[wn2020:02971575n, wn:02939866n]	caliper	[]
bn:00014790n	[wn2020:02971825n, wn:02940143n]	calkin	[A metal cleat on the bottom front of a horseshoe to prevent slipping]
bn:00014790n	[wn2020:02971825n, wn:02940143n]	calk	[]
bn:00014788n	[wn:00627437n, wn2020:00630044n]	callisthenics	[Light exercises designed to promote general fitness]
bn:00014788n	[wn:00627437n, wn2020:00630044n]	calisthenics	[]
bn:00014797n	[wn:07192511n, wn2020:07283353n]	call	[A demand for a show of hands in a card game]
bn:00014793n	[wn2020:07211320n, wn:07120524n]	yell	[]
bn:00014793n	[wn2020:07211320n, wn:07120524n]	call	[]
bn:00014793n	[wn2020:07211320n, wn:07120524n]	outcry	[]
bn:00014793n	[wn2020:07211320n, wn:07120524n]	cry	[]
bn:00014793n	[wn2020:07211320n, wn:07120524n]	vociferation	[A loud utterance; often in protest or opposition]
bn:00014793n	[wn2020:07211320n, wn:07120524n]	shout	[]
bn:00014791n	[wn2020:06333492n, wn:06272803n]	phone_call	[]
bn:00014791n	[wn2020:06333492n, wn:06272803n]	call	[]
bn:00014791n	[wn2020:06333492n, wn:06272803n]	telephone_call	[A telephone connection]
bn:00014803n	[wn2020:06333932n, wn:06273207n]	call-back	[A return call]
bn:00014802n	[wn:00080743n, wn2020:00082098n]	call	[The option to buy a given stock (or stock index or commodity future) at a given price before a given date]
bn:00014802n	[wn:00080743n, wn2020:00082098n]	call_option	[]
bn:00014806n	[wn2020:06334280n, wn:06273555n]	call-in	[A telephone call to a radio station or a television station in which the caller participates in the on-going program]
bn:00014809n	[wn:03990210n, wn2020:04031958n]	pob	[]
bn:00014809n	[wn:03990210n, wn2020:04031958n]	po_box	[]
bn:00014809n	[wn:03990210n, wn2020:04031958n]	post-office_box	[]
bn:00014809n	[wn:03990210n, wn2020:04031958n]	letter_box	[A numbered compartment in a post office where mail is put to be called for]
bn:00014809n	[wn:03990210n, wn2020:04031958n]	call_box	[]
bn:00014813n	[wn:09889065n, wn2020:10000205n]	call_girl	[A female prostitute who can be hired by telephone]
bn:00014827n	[wn2020:09999775n, wn:09888635n]	caller-out	[A person who announces the changes of steps during a dance]
bn:00014827n	[wn2020:09999775n, wn:09888635n]	caller	[]
bn:00014845n	[wn:02618697n, wn2020:02647239n]	family_callionymidae	[Dragonets]
bn:00014845n	[wn:02618697n, wn2020:02647239n]	callionymidae	[]
bn:00014869n	[wn:11643022n, wn2020:11766608n]	sandarac_tree	[]
bn:00014869n	[wn:11643022n, wn2020:11766608n]	sandarac	[]
bn:00014869n	[wn:11643022n, wn2020:11766608n]	callitris_quadrivalvis	[Large coniferous evergreen tree of North Africa and Spain having flattened branches and scalelike leaves yielding a hard fragrant wood; bark yields a resin used in varnishes]
bn:00014869n	[wn:11643022n, wn2020:11766608n]	tetraclinis_articulata	[]
bn:00014923n	[wn2020:12073163n, wn:11948044n]	centauria_calcitrapa	[Mediterranean annual or biennial herb having pinkish to purple flowers surrounded by spine-tipped scales; naturalized in America]
bn:00014923n	[wn2020:12073163n, wn:11948044n]	caltrop	[]
bn:00014923n	[wn2020:12073163n, wn:11948044n]	star-thistle	[]
bn:00014921n	[wn2020:12851237n, wn:12723610n]	devil's_weed	[]
bn:00014921n	[wn2020:12851237n, wn:12723610n]	caltrop	[]
bn:00014921n	[wn2020:12851237n, wn:12723610n]	tribulus_terestris	[Tropical annual procumbent poisonous subshrub having fruit that splits into five spiny nutlets; serious pasture weed]
bn:00014965n	[wn2020:04699690n, wn:04653627n]	camaraderie	[]
bn:00014965n	[wn2020:04699690n, wn:04653627n]	chumminess	[]
bn:00014965n	[wn2020:04699690n, wn:04653627n]	comradeship	[The quality of affording easy familiarity and sociability]
bn:00014965n	[wn2020:04699690n, wn:04653627n]	comradery	[]
bn:00014965n	[wn2020:04699690n, wn:04653627n]	comradeliness	[]
bn:00014976n	[wn2020:13228756n, wn:13097338n]	cambium	[A formative one-cell layer of tissue between xylem and phloem in most vascular plants that is responsible for secondary growth]
bn:00014979n	[wn2020:09806527n, wn:09696280n]	kampuchean	[A native or inhabitant of Cambodia]
bn:00014979n	[wn2020:09806527n, wn:09696280n]	cambodian	[]
bn:00014986n	[wn2020:02973867n, wn:02942147n]	cambric	[A finely woven white linen]
bn:00014984n	[wn2020:09858067n, wn:09747329n]	welshman	[]
bn:00014984n	[wn2020:09858067n, wn:09747329n]	cymry	[A native or resident of Wales]
bn:00014984n	[wn2020:09858067n, wn:09747329n]	cambrian	[]
bn:00014984n	[wn2020:09858067n, wn:09747329n]	welsh	[]
bn:00014996n	[wn:12929403n, wn2020:13058398n]	camellia	[]
bn:00014996n	[wn:12929403n, wn2020:13058398n]	camelia	[Any of several shrubs or small evergreen trees having solitary white or pink or reddish flowers]
bn:00015000n	[wn:12929600n, wn2020:13058595n]	japonica	[]
bn:00015000n	[wn:12929600n, wn2020:13058595n]	camellia_japonica	[Greenhouse shrub with glossy green leaves and showy fragrant rose-like flowers; cultivated in many varieties]
bn:00014993n	[wn2020:02461591n, wn:02437136n]	camel	[Cud-chewing mammal used as a draft or saddle animal in desert regions]
bn:00015034n	[wn:02944459n, wn2020:02976216n]	camouflage	[Device or stratagem for concealment or deceit]
bn:00015050n	[wn2020:07564795n, wn:07472929n]	political_campaign	[]
bn:00015050n	[wn2020:07564795n, wn:07472929n]	campaign	[]
bn:00015050n	[wn2020:07564795n, wn:07472929n]	run	[A race between candidates for elective office]
bn:00015053n	[wn:00309906n, wn2020:00311474n]	hunting_expedition	[]
bn:00015053n	[wn:00309906n, wn2020:00311474n]	safari	[An overland journey by hunters (especially in Africa)]
bn:00015053n	[wn:00309906n, wn2020:00311474n]	campaign	[]
bn:00015076n	[wn:09889941n, wn2020:10001081n]	camper	[Someone living temporarily in a tent or lodge for recreation]
bn:00015077n	[wn:02946348n, wn2020:02978105n]	camper	[]
bn:00015077n	[wn:02946348n, wn2020:02978105n]	camping_bus	[]
bn:00015077n	[wn:02946348n, wn2020:02978105n]	motor_home	[A recreational vehicle equipped for camping out while traveling]
bn:00015082n	[wn:03788703n, wn2020:03828783n]	mothball	[]
bn:00015082n	[wn:03788703n, wn2020:03828783n]	camphor_ball	[A small sphere of camphor or naphthalene used to keep moths away from stored clothing]
bn:00015093n	[wn:02220676n, wn2020:02242334n]	camponotus	[]
bn:00015093n	[wn:02220676n, wn2020:02242334n]	genus_camponotus	[Carpenter ants]
bn:00015106n	[wn:04446521n, wn2020:04491236n]	toilet	[]
bn:00015106n	[wn:04446521n, wn2020:04491236n]	can	[]
bn:00015106n	[wn:04446521n, wn2020:04491236n]	commode	[]
bn:00015106n	[wn:04446521n, wn2020:04491236n]	crapper	[]
bn:00015106n	[wn:04446521n, wn2020:04491236n]	pot	[]
bn:00015106n	[wn:04446521n, wn2020:04491236n]	potty	[]
bn:00015106n	[wn:04446521n, wn2020:04491236n]	stool	[]
bn:00015106n	[wn:04446521n, wn2020:04491236n]	throne	[A plumbing fixture for defecation and urination]
bn:00015125n	[wn2020:09806832n, wn:09696585n]	canadian	[A native or inhabitant of Canada]
bn:00015131n	[wn:11956348n, wn2020:12081493n]	conyza_canadensis	[]
bn:00015131n	[wn:11956348n, wn2020:12081493n]	erigeron_canadensis	[Common North American weed with linear leaves and small discoid heads of yellowish flowers; widely naturalized throughout temperate regions; sometimes placed in genus Erigeron]
bn:00015131n	[wn:11956348n, wn2020:12081493n]	horseweed	[]
bn:00015131n	[wn:11956348n, wn2020:12081493n]	canadian_fleabane	[]
bn:00015131n	[wn:11956348n, wn2020:12081493n]	fleabane	[]
bn:00015184n	[wn2020:01996971n, wn:01977832n]	cancer	[]
bn:00015184n	[wn2020:01996971n, wn:01977832n]	genus_cancer	[Type genus of the family Cancridae]
bn:00015195n	[wn2020:14382737n, wn:14242788n]	cancroid	[]
bn:00015195n	[wn2020:14382737n, wn:14242788n]	squamous_cell_carcinoma	[The most common form of skin cancer]
bn:00015197n	[wn:13641534n, wn2020:13777340n]	standard_candle	[The basic unit of luminous intensity adopted under the Systeme International d'Unites; equal to 1/60 of the luminous intensity per square centimeter of a black body radiating at the temperature of 2,046 degrees Kelvin]
bn:00015197n	[wn:13641534n, wn2020:13777340n]	candle	[]
bn:00015197n	[wn:13641534n, wn2020:13777340n]	candela	[]
bn:00015197n	[wn:13641534n, wn2020:13777340n]	cd	[]
bn:00015238n	[wn2020:12013905n, wn:11889619n]	candytuft	[Any of various flowering plants of the genus Iberis cultivated for their showy clusters of white to red or purple flowers; native to Mediterranean region]
bn:00015233n	[wn2020:03122942n, wn:03089624n]	confectionary	[]
bn:00015233n	[wn2020:03122942n, wn:03089624n]	candy_store	[A confectioner's shop]
bn:00015233n	[wn2020:03122942n, wn:03089624n]	confectionery	[]
bn:00015240n	[wn:02949202n, wn2020:02980951n]	cane	[A stick that people can lean on to help them walk]
bn:00015237n	[wn2020:10064507n, wn:09953350n]	confectioner	[]
bn:00015237n	[wn2020:10064507n, wn:09953350n]	candymaker	[Someone who makes candies and other sweets]
